Date, Session Winnings, Session Losses
Wed Dec 10 04:00:00 EST 2025,412.02,,
Thu Dec 11 04:00:00 EST 2025,,-61.30
Fri Dec 12 04:00:00 EST 2025,16.77,,
Sat Dec 13 04:00:00 EST 2025,,-48.09
Sun Dec 14 04:00:00 EST 2025,180.12,,
Mon Dec 15 04:00:00 EST 2025,70.34,,
Tue Dec 16 04:00:00 EST 2025,,-80.86
Wed Dec 17 04:00:00 EST 2025,,-36.16
Thu Dec 18 04:00:00 EST 2025,49.99,,
Fri Dec 19 04:00:00 EST 2025,162.13,,
Sat Dec 20 04:00:00 EST 2025,205.95,,
Sun Dec 21 04:00:00 EST 2025,11.77,,
Mon Dec 22 04:00:00 EST 2025,30.01,,
Tue Dec 23 04:00:00 EST 2025,,-108.11
Wed Dec 24 04:00:00 EST 2025,,-22.63
Thu Dec 25 04:00:00 EST 2025,0.65,,
Fri Dec 26 04:00:00 EST 2025,22.36,,
Sat Dec 27 04:00:00 EST 2025,,-77.03
Sun Dec 28 04:00:00 EST 2025,52.15,,
Mon Dec 29 04:00:00 EST 2025,,-2.51
Tue Dec 30 04:00:00 EST 2025,65.77,,
Wed Dec 31 04:00:00 EST 2025,,-127.90
,6326.96,3229.86
